id of the run;Costs;Peak Load;Thermal Discomfort
1;-118.69;247.13;0.11
2;-18.16;117.11;0.13
3;-88.06;163.96;0.11
4;-107.22;207.02;0.11
5;-115.78;232.78;0.11
6;-116.72;236.53;0.11
7;-117.38;239.71;0.11
8;-115.79;232.78;0.11
9;-11.08;133.52;0.18
10;-82.17;156.72;0.13
11;-96.45;180.02;0.12
12;-88.06;163.96;0.11
13;-94.88;176.45;0.12
14;-90.86;168.98;0.12
15;-88.66;165.01;0.12
16;-88.18;164.15;0.12
17;-84.97;159.96;0.11
18;-54.03;129.41;0.14
19;-69.58;142.7;0.13
20;-77.4;150.88;0.12
21;-79.99;153.8;0.13
22;-81.13;155.26;0.12
23;-78.71;152.34;0.12
24;-77.88;151.42;0.13
25;-72.2;145.39;0.13
26;-70.3;143.42;0.14
27;-69.61;142.72;0.14
28;-17.66;124.68;0.14
29;-45.24;123.4;0.14
30;-57.5;131.89;0.14
31;-60.88;134.73;0.16
32;-64.42;137.95;0.13
33;-60.85;134.72;0.15
34;-38.22;119.41;0.11
35;-40.09;120.4;0.12
36;-39.25;119.9;0.12
37;-44.71;123.06;0.13
38;-39.31;119.9;0.11
39;-45.34;123.44;0.14
40;-39.38;119.99;0.13
41;-28.65;117.16;0.13
42;-29.28;114.91;0.16
43;-23.24;114.55;0.15
44;-29.31;114.9;0.16
45;-8.57;135.89;0.13
46;-18.54;114.76;0.16
47;-18.4;112.41;0.15
48;-18.46;113.28;0.14
49;-60.88;134.73;0.15
50;-57.49;131.88;0.16
51;-55.6;130.53;0.14
52;-110.08;215.13;0.11
53;-110.03;214.93;0.11
