id of the run;Costs;Peak Load;Thermal Discomfort
1;-41.81;84.3;0.11
2;-7.01;37.42;0.12
3;-30.31;55.06;0.11
4;-36.68;68.5;0.11
5;-39.95;77.78;0.11
6;-41.4;82.48;0.11
7;-41.77;84.07;0.11
8;-41.81;84.3;0.11
10;-40.88;80.7;0.11
11;-39.05;75.08;0.11
12;-33.62;61.04;0.11
13;-35.16;64.7;0.11
14;-32.48;58.9;0.12
15;-33.33;60.46;0.11
17;-33.39;60.56;0.11
18;-33.91;61.71;0.11
19;-33.62;61.04;0.11
21;-25.67;49.56;0.14
22;-28.28;52.7;0.11
23;-28.3;52.71;0.11
24;-19.84;44.38;0.13
25;-24.75;48.61;0.14
28;-25.89;49.78;0.13
29;-21.78;45.88;0.13
30;-23.4;47.35;0.14
31;-24.18;48.07;0.13
32;-20.48;44.84;0.13
33;-21.78;45.88;0.14
34;-20.03;44.51;0.12
35;-20.06;44.53;0.13
36;-27.24;51.24;0.12
37;-22.39;46.44;0.14
38;-24.74;48.6;0.14
39;-21.79;45.89;0.14
