id of the run;Costs;Peak Load;Thermal Discomfort
1;118.9;70.94;0.15
2;137.03;53.79;0.09
3;123.84;59.19;0.18
4;120.78;66.72;0.14
8;120.29;68.56;0.17
9;120.65;67.13;0.16
10;120.72;66.94;0.16
11;121.52;64.29;0.16
12;121.26;65.18;0.17
13;121.75;63.69;0.16
15;121.44;64.51;0.15
16;122.18;62.78;0.17
17;121.6;64.1;0.17
18;123.19;60.4;0.18
19;122.38;62.19;0.17
20;122.97;60.77;0.17
21;123.59;59.55;0.17
22;123.48;59.74;0.18
24;123.78;59.32;0.18
25;126.87;56.65;0.17
26;124.84;57.99;0.17
27;124.51;58.28;0.17
28;124.31;58.53;0.16
29;124.05;58.88;0.17
30;124.81;58.03;0.19
31;126.38;56.9;0.18
32;124.8;58.04;0.18
33;126.65;56.75;0.18
34;126.39;56.87;0.19
36;129.31;56.02;0.12
37;126.55;56.85;0.17
38;130.86;55.59;0.12
39;128.83;56.14;0.14
40;130.25;55.76;0.12
41;127.34;56.46;0.15
42;137.01;53.8;0.08
43;133.82;54.86;0.11
44;131.63;55.35;0.13
45;131.29;55.54;0.13
47;134.97;54.35;0.11
49;133.9;54.76;0.09
51;131.8;55.31;0.12
