id of the run;Costs;Peak Load;Thermal Discomfort
1;-82.7;167.0;0.11
3;-59.91;108.83;0.11
4;-72.87;136.38;0.11
5;-79.6;155.87;0.11
6;-81.72;162.6;0.11
7;-82.45;165.64;0.11
8;-82.7;167.0;0.11
10;-55.61;103.67;0.13
11;-66.63;121.03;0.12
12;-75.98;145.04;0.11
13;-81.55;162.02;0.11
14;-59.93;108.85;0.11
15;-64.98;117.87;0.12
16;-65.87;119.52;0.11
17;-66.45;120.66;0.11
18;-66.54;120.83;0.12
19;-66.55;120.87;0.11
20;-66.5;120.76;0.12
21;-57.72;106.36;0.11
22;-33.2;83.61;0.14
23;-41.29;89.13;0.14
24;-49.99;97.17;0.14
25;-53.25;100.75;0.13
26;-54.48;102.21;0.12
27;-54.48;102.21;0.13
28;-51.99;99.29;0.13
29;-46.22;93.62;0.14
30;-48.98;96.21;0.13
31;-49.65;96.83;0.13
32;-45.05;92.53;0.13
33;-38.93;87.31;0.13
34;-39.82;87.96;0.14
35;-41.19;89.08;0.15
36;-39.49;87.74;0.14
37;-35.55;85.12;0.14
38;-12.9;76.46;0.16
39;-26.68;79.87;0.13
41;-31.78;82.75;0.12
42;-27.97;80.59;0.12
43;-27.22;80.17;0.1
46;-27.66;80.38;0.11
47;-23.08;78.08;0.12
