id of the run;Costs;Peak Load;Thermal Discomfort
1;98.81;65.24;0.15
2;118.27;45.45;0.15
3;103.37;51.99;0.2
4;100.25;63.83;0.16
5;99.7;64.91;0.16
6;101.93;56.22;0.18
7;101.08;59.69;0.18
8;101.64;57.37;0.17
10;102.76;53.07;0.23
11;103.41;51.97;0.19
12;103.3;52.15;0.18
14;102.99;52.68;0.2
15;102.89;52.83;0.22
17;103.33;52.02;0.18
18;110.7;48.35;0.13
19;105.5;50.7;0.13
20;103.96;51.45;0.16
21;103.48;51.91;0.16
22;105.63;50.66;0.14
23;108.34;49.34;0.12
24;105.73;50.58;0.13
25;104.48;51.17;0.15
26;106.6;50.18;0.15
27;105.78;50.53;0.13
28;109.95;48.67;0.16
29;109.6;48.78;0.12
30;118.26;45.47;0.14
31;112.95;47.44;0.18
32;110.04;48.63;0.14
33;108.63;49.22;0.15
34;110.15;48.58;0.14
35;118.03;45.54;0.16
36;115.33;46.58;0.14
37;118.25;45.48;0.14
38;114.42;46.92;0.16
39;114.25;46.96;0.17
40;118.23;45.49;0.14
41;107.64;49.67;0.13
42;110.0;48.65;0.13
44;99.65;64.93;0.17
46;95.21;71.78;0.12
