Costs;Peak Load;id of the run;Thermal Discomfort
355.67;46.48;1;0.09
355.68;46.44;71;0.08
355.7;46.43;20;0.09
355.71;46.41;7;0.09
355.72;46.39;21;0.08
355.75;46.37;41;0.09
355.76;46.35;82;0.09
355.77;46.34;83;0.09
355.78;46.31;13;0.09
355.79;46.28;90;0.09
355.8;46.27;91;0.09
355.82;46.25;48;0.09
355.84;46.23;96;0.09
355.85;46.19;101;0.09
355.86;46.17;15;0.09
355.89;46.12;29;0.09
355.93;46.06;59;0.09
355.96;46.03;61;0.09
355.99;46.0;10;0.09
356.04;45.98;64;0.09
356.06;45.94;3;0.09
352.97;51.36;102;0.09
352.37;53.39;103;0.09
351.66;57.06;104;0.09
351.39;58.86;105;0.09
351.04;125.73;106;0.09
351.09;72.01;107;0.09
351.28;61.11;109;0.09
351.04;125.73;111;0.09
351.04;125.73;112;0.09
352.67;52.14;114;0.09
352.66;52.18;115;0.09
354.29;48.51;116;0.08
353.39;50.34;117;0.09
353.1;51.06;118;0.09
353.48;50.03;119;0.09
352.58;52.39;120;0.09
352.94;51.53;121;0.09
353.78;49.36;122;0.09
353.13;50.81;123;0.09
354.27;48.54;124;0.08
354.31;48.39;126;0.08
355.92;46.08;127;0.09
356.56;45.9;130;0.08
