Costs;Peak Load;id of the run;Thermal Discomfort
529.09;76.43;35;0.09
529.18;76.23;36;0.09
529.2;76.14;11;0.09
529.21;76.09;71;0.09
529.38;75.75;7;0.09
529.41;75.65;39;0.09
529.45;75.45;40;0.09
529.54;75.26;41;0.09
529.56;75.06;42;0.09
529.89;74.38;24;0.09
529.95;74.28;46;0.09
530.11;73.89;48;0.09
530.22;73.88;49;0.09
530.24;73.6;26;0.09
530.45;73.28;15;0.09
527.68;82.48;100;0.09
546.74;77.48;101;0.09
534.73;78.18;102;0.08
529.93;74.11;103;0.09
528.46;78.3;104;0.09
528.02;80.23;105;0.09
527.99;80.23;106;0.09
528.04;79.84;107;0.09
528;79.79;108;0.09
526.71;171.42;109;0.09
526.71;111.24;110;0.09
527.14;94.54;111;0.09
527.87;82.5;112;0.08
527.08;96.33;113;0.09
526.73;150.74;114;0.09
568.01;96.58;115;0.06
528.13;79.41;116;0.09
528.37;78.75;117;0.09
528.97;77.05;118;0.09
532.02;73.88;119;0.08
531.1;73.88;120;0.09
530.5;73.28;121;0.09
530.2;73.51;122;0.09
530.18;73.53;123;0.09
529.95;74.11;124;0.09
538.23;74.55;125;0.08
534.62;78.18;126;0.08
531.5;73.88;127;0.08
533.61;75.15;128;0.08
532.91;73.28;129;0.08
533.57;73.91;130;0.08
533.57;74.51;131;0.08
537.3;74.58;132;0.08
535.42;76.38;133;0.08
535.24;77.58;134;0.08
534.54;77.58;135;0.08
533.57;75.14;136;0.08
526.71;171.42;137;0.09
534;77.58;138;0.08
535.43;75.18;139;0.08
535.27;75.78;140;0.08
536.77;75.18;141;0.08
536.08;74.58;142;0.08
538.01;75.74;143;0.08
533.87;78.18;144;0.08
536.87;75.18;145;0.08
535.1;78.18;146;0.08
536.77;75.18;147;0.08
537.69;73.88;148;0.08
536.03;76.98;149;0.08
538.05;75.12;150;0.09
536.74;75.74;151;0.08
526.71;171.42;152;0.09
