id of the run;Costs;Peak Load;Thermal Discomfort
2;643.49;137.09;0.17
3;620.34;159.83;0.19
4;613.55;172.45;0.2
5;611.35;176.23;0.21
7;616.19;170.43;0.2
9;615.14;170.74;0.19
11;619.31;162.62;0.18
12;619.07;167.42;0.19
13;624.47;152.06;0.19
14;621.74;158.2;0.18
18;622.41;155.3;0.19
19;621.04;159.35;0.19
20;619.77;160.46;0.18
22;624.36;152.76;0.2
23;634.39;143.46;0.19
24;628.1;148.58;0.18
25;626.79;150.56;0.18
26;631.65;145.43;0.18
27;627.43;149.08;0.18
28;637.57;139.87;0.21
29;632.28;144.61;0.18
30;633.71;143.9;0.18
31;634.86;142.3;0.18
33;626.18;150.91;0.19
34;630.11;146.63;0.17
35;630.57;146.55;0.17
37;619.48;160.84;0.19
