Costs;Peak Load;id of the run;Thermal Discomfort
257.83;81.16;67;0.17
257.84;81.04;35;0.18
257.88;80.8;19;0.18
257.89;80.68;69;0.18
257.95;80.57;36;0.17
258.01;79.61;38;0.18
258.11;79.13;39;0.17
258.26;78.89;21;0.17
258.27;78.41;12;0.18
258.36;77.93;22;0.17
258.38;77.45;5;0.17
258.51;77.22;43;0.18
258.53;76.98;23;0.18
258.63;76.5;13;0.19
258.64;76.02;24;0.18
258.68;75.78;46;0.18
258.85;75.3;47;0.18
258.94;74.58;14;0.17
259.0;74.34;49;0.18
259.05;73.87;50;0.18
259.16;73.63;4;0.18
259.21;73.39;51;0.19
259.23;73.15;27;0.18
259.3;72.67;15;0.19
259.34;72.43;53;0.18
259.43;72.19;28;0.18
259.55;71.47;55;0.17
259.64;71.23;29;0.19
259.65;70.99;56;0.18
259.69;70.76;16;0.17
259.88;70.52;57;0.18
259.91;70.04;58;0.18
259.98;69.56;59;0.19
260.09;69.08;60;0.18
260.14;68.6;61;0.18
260.29;68.12;62;0.18
260.36;67.88;10;0.18
260.42;67.65;63;0.16
260.45;67.17;64;0.17
260.57;66.93;18;0.17
260.7;66.69;65;0.19
260.71;66.21;66;0.17
256.45;93.94;100;0.17
264.18;58.16;102;0.17
260.06;69.36;103;0.19
257.65;82.74;105;0.18
261.72;63.26;107;0.18
260.76;65.91;108;0.18
261.93;62.67;109;0.17
263.85;59.36;110;0.18
269.71;57.56;133;0.14
